recno,RAdeg,DEdeg,Vmag,Bmag,B-V
,56.984582,24.490318,15.227,15.81,0.583
,57.398535,24.24717,15.238,16.135,0.897
,57.124613,24.264039,15.251,16.224,0.973
,57.205742,24.21938,15.258,16.116,0.858
,57.184926,24.145199,15.268,16.398,1.13
,57.136702,24.481204,15.274,16.116,0.842
,57.286539,24.650687,15.276,15.978,0.702
,57.031264,24.000298,15.283,16.42,1.137
,56.836548,24.394985,15.284,16.192,0.908
,57.12688,24.148734,15.297,16.253,0.956
,56.701184,24.301623,15.301,16.636,1.335
,57.171664,24.338477,15.311,16.159,0.848
,56.743379,24.297539,15.312,15.957,0.645
,57.172087,24.423363,15.312,15.997,0.685
,57.062996,24.324252,15.325,15.463,0.138
,56.993165,24.195672,15.37,16.259,0.889
,57.047076,24.145847,15.374,16.461,1.087
,57.537471,24.310677,15.39,16.319,0.929
,57.021225,24.392554,15.416,16.613,1.197
,57.419417,24.462124,15.426,16.446,1.02
,56.758919,24.199518,15.427,15.634,0.207
,57.207536,24.35556,15.449,16.495,1.046
,56.88134,24.312892,15.457,16.642,1.185
,57.252903,24.230087,15.46,16.274,0.814
,57.190387,24.401056,15.472,16.548,1.076
,57.2146,24.530932,15.476,16.244,0.768
,57.046976,24.145964,15.476,16.538,1.062
,56.911113,23.960491,15.478,16.2,0.722
,57.452629,24.370996,15.499,16.537,1.038
,57.088425,24.484559,15.508,16.168,0.66
,57.030346,24.397064,15.51,16.085,0.575
,57.058005,24.359281,15.512,16.323,0.811
,56.861394,24.401047,15.529,16.461,0.932
,56.858588,24.203478,15.542,16.533,0.991
,57.095254,24.625417,15.544,16.135,0.591
,57.070417,24.592512,15.554,16.584,1.03
,57.146212,24.386456,15.578,16.875,1.297
,56.957152,24.471214,15.598,16.631,1.033
,57.197059,24.488884,15.621,16.477,0.856
,57.143343,24.061384,15.622,16.404,0.782
,57.123229,24.065579,15.631,16.329,0.698
,57.561793,24.282579,15.652,16.518,0.866
,57.301172,24.294147,15.682,16.582,0.9
,57.260118,24.350265,15.684,16.783,1.099
,57.39372,24.252891,15.694,16.418,0.724
,57.292917,24.192137,15.699,16.241,0.542
,57.266065,24.379414,15.703,16.536,0.833
,57.387109,24.193271,15.705,16.478,0.773
,56.856086,24.318491,15.705,16.792,1.087
,57.000665,24.210124,15.721,17.027,1.306
,56.775942,24.303473,15.727,16.564,0.837
,57.072731,24.149007,15.735,17.203,1.468
,57.378838,24.433721,15.743,16.734,0.991
,56.77247,24.138737,15.745,16.631,0.886
,56.946831,24.424993,15.755,16.364,0.609
,57.007112,24.065182,15.756,16.439,0.683
,56.964697,24.435388,15.763,16.315,0.552
,57.078728,24.609974,15.763,16.351,0.588
,56.714696,24.306708,15.789,16.607,0.818
,57.182469,24.347217,15.793,16.6,0.807
,57.288153,24.383535,15.8,17.068,1.268
,57.297787,24.51941,15.802,16.513,0.711
,56.626033,24.311508,15.809,16.254,0.445
,57.36002,24.155211,15.817,16.753,0.936
,57.108682,24.238546,15.824,16.426,0.602
,56.79022,24.427297,15.83,16.779,0.949
,57.404892,24.245525,15.836,16.356,0.52
,56.860089,24.262584,15.837,16.647,0.81
,57.242217,24.617279,15.842,16.515,0.673
,57.221101,24.485861,15.853,16.468,0.615
,57.05151,24.34353,15.864,16.705,0.841
,57.459806,24.406049,15.869,16.639,0.77
,57.244999,24.465366,15.881,16.619,0.738
,57.239986,24.37911,15.889,16.706,0.817
,56.929533,24.267474,15.891,16.539,0.648
,56.995301,24.252275,15.892,16.506,0.614
,57.073214,24.41284,15.909,16.406,0.497
,56.695588,24.269238,15.926,16.828,0.902
,57.097691,24.070393,15.927,16.941,1.014
,57.248291,24.290073,15.935,16.854,0.919
,56.901536,23.951517,15.936,16.726,0.79
,57.139054,24.196144,15.946,16.512,0.566
,56.928173,24.137162,15.947,16.881,0.934
,57.329989,24.177792,15.952,16.655,0.703
,56.758405,24.210104,15.983,18.055,2.072
,56.942104,24.201231,15.992,16.777,0.785
,57.359161,24.269774,15.994,16.623,0.629
,57.090858,24.562825,16.005,16.789,0.784
,57.197037,24.236957,16.008,16.526,0.518
,57.233649,24.576238,16.008,16.988,0.98
,57.134856,24.546577,16.012,16.723,0.711
,57.281625,24.588906,16.018,16.856,0.838
,57.102913,24.42807,16.024,16.799,0.775
,57.017142,24.572994,16.033,16.955,0.922
,57.245311,24.440385,16.062,16.97,0.908
,56.966498,24.096415,16.068,16.752,0.684
,57.106796,24.40908,16.068,17.215,1.147
,57.065464,24.310256,16.072,16.292,0.22
,57.039435,24.507593,16.077,16.885,0.808
,57.269119,24.492392,16.091,16.752,0.661
,57.176096,24.517666,16.105,17.007,0.902
,57.145701,24.298741,16.109,16.907,0.798
,56.962325,24.505067,16.117,17.63,1.513
,57.192206,24.659683,16.177,16.841,0.664
,56.774975,24.111434,16.185,17.149,0.964
,56.783995,24.255324,16.189,16.972,0.783
,56.886549,24.479056,16.211,16.713,0.502
,57.016524,24.514709,16.212,16.949,0.737
,57.380976,24.39653,16.216,17.082,0.866
,56.900565,24.345238,16.227,16.801,0.574
,56.975683,24.122881,16.23,17.318,1.088
,57.261254,24.344283,16.236,17.142,0.906
,57.236429,24.268025,16.248,17.021,0.773
